奖励ID	所属类型	礼包名称	礼物等级	礼物经验	奖励贡献度	奖励金币	奖励道具ID	道具数量	奖励贡献度|金币|道具权重
sid	type		level	exp	contributiveness	gold	propId	propNum	rate
sid	type	name	level	exp	contributiveness	gold	propId	propNum	rate
int	int	string	int	int	int	int	ints	ints	ints
1001	1	木质礼包	1	50	1000	-1	22001|21006|21301|21007|21056|21106|21156|21206|20651|20652|20653|22002|20751|21302|21008|21057|21107|21157|21201	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
1002	1	木质礼包	2	50	1100	-1	22001|21001|21301|21007|21056|21106|21156|21206|20651|20652|20653|22002|20751|21302|21008|21057|21107|21157|21201	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
1003	1	木质礼包	3	50	1200	-1	22001|21001|21301|21007|21056|21001|21156|21206|20651|20652|20653|22002|20751|21302|21008|21057|21107|21157|21201	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
1004	1	木质礼包	4	50	1300	-1	22001|21001|21301|21007|21051|21001|21156|21206|20651|20652|20653|22002|20751|21302|21008|21057|21107|21157|21201	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
1005	1	木质礼包	5	50	1400	-1	22001|21001|21301|21007|21051|21001|21156|21207|20651|20652|20653|22002|20751|21302|21008|21057|21107|21157|21201	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
1006	1	木质礼包	6	50	1500	-1	22001|21001|21301|21007|21051|21001|21156|21207|20651|20652|20653|22002|20751|21304|21008|21057|21107|21157|21201	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
1007	1	木质礼包	7	50	1600	-1	22003|21001|21301|21007|21051|21001|21156|21207|20651|20652|20653|22002|20751|21304|21008|21057|21107|21157|21201	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
1008	1	木质礼包	8	50	1700	-1	22004|21001|21301|21007|21051|21001|21156|21207|20651|20652|20653|22002|20751|21304|21008|21057|21107|21157|21201	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1000|0|500
