文本id	文本	
id	str	
id	str	
INT	string	
0	群雄	
1	魏国	
2	蜀国	
3	吴国	
11	您确定要退出游戏么？	
10  -----------兵营		
1000	属性	
1001	步兵	
1002	弩兵	
1003	骑兵	
1004	攻城兵	
1005	克制兵种：%s	
1006	受制兵种：%s	
1007	消耗：	
1008	类型：%s	
1009	立即训练	
1010	训练	
1011	守城兵力：%s	
1012	升级兵营，能增加士兵训练上限。建造多个兵营，可以获得更多的兵营奖励。点击兵种进行训练，可获得该兵种士兵。	
1013	加成	
1014	武将天赋	
1015	研究科技	
1016	建筑加成	
1017	兵力：%s	
1018	消耗：%s	
1019	战力：%s	
1020	负载：%s	
1021	士兵训练：%s	
1022	士兵攻击：%s	
1023	训练加速：%s	
1024	士兵防御：%s	
1025	解散	
1026	攻击	
1027	防御	
1028	血量	
1029	速度	
1030	更多信息	
1031	士兵每小时会消耗一定的粮草，称为“消耗”。以下是您的军队及其消耗列表。	
1032	粮草消耗	
1033	总消耗：%s	
1034	军队信息	
1035	兵营信息	
1036	兵营奖励	
1037	额外特权	
1038	训练上限	
1039	等级	
1040	兵种	
1041	消耗	
1042	升级兵营，能增加士兵训练上限。建造多个兵营，可以获得更多的兵营奖励。	
1043	训练上限：%s	
1044	缩短训练时间：%s	
1045	训练加速：%s	
1046	是否确定花费钻石立即训练士兵	
11	-----------陷阱	
1101	城墙防御	
1102	选择要建造的陷阱	
1103	让您的城墙防御始终处于加满状态，可以更好的保卫您的城池！	
1104	城墙信息	
1105	陷阱上限	
1106	城墙陷阱能为您抵御进攻的敌人。建造陷阱能提升您的主城防御力。您最好能升级您的城墙，并建造尽可能多的陷阱。	
12  -----------二级地图		
1200	迁徙	
1201	占领	
1202	创建收藏	
1203	选择标记	
1204	位置	
1205	主公	
1206	收藏	
1207	好友	
1208	敌人	
1209	确定	
1210	点击进行编辑	
1211	您确定要使用一个高级迁徙令来将您的城池迁徙到此处么?	
1212	将主城迁徙到本区域任意位置。（可用于区域战期间暂时迁往敌对区域！）	
1213	拥有：%s	
1214	迁徙	
1215	购买	
1216	搜索	
1217	输入坐标	
1218	清除	
1219	所有	
1220	坐标： K：%s X：%d Y：%d	
1221	删除	
1222	编辑	
1223	前往	
1224	占领本资源点即可采集本资源点蕴藏的资源。如本资源点已被他人占领，则需击败其驻扎军队，将其驱逐！	
1225	成功占领资源点有机会获得装备材料！	
1226	占领者	
13	-----------出兵遣将	
1300	行军	
1301	全选	
1302	回城	
1303	查看	
1304	进入主城	
1305	正在回城	
1306	城池	
1307	主公	
1308	杀敌	
1309	联盟	
1310	区域	
1311	击败 %s 会营救出所有被关押的武将	
1312	资料	
1313	侦查	
1314	集火	
1315	关押的武将	
1316	查看	
1317	资源量：	
1318	Boss	
1319	联盟集火	
1320	5分钟	
1321	15分钟	
1322	30分钟	
1323	1小时	
1324	8小时	
1325	出兵	
14	-----------任务	
1400	城池任务	
1401	城卫军	
1402	联盟军	
1403	禁卫军	
1405	军事行动	
1406	行动刷新	
1407	主线任务	
1408	部队	
1409	建筑	
1410	任务	
1411	任务详情	
1412	任务奖励	
1413	领取奖励	
1414	点击开始行动，倒计时结束即可领取军饷！	
1415	开始行动	
1416	立即刷新	
1417	军事行动分六个品阶，如下由高至低排列。	
1418	您只需要点击开始行动，等待倒计时结束便可领取行动军饷。行动品阶越高，获得的军饷就越好。当行动刷新时，不在执行中的行动会被刷新，执行中的和未领取军饷的行动不会被刷新。	
